"Tax Saving Options","Returns*","Lock-in Period","Tax Benefits under Income Tax Act, 1961"
"Unit Linked Insurance Plan (ULIP)","9% to 15% p.a. (varies as per plan)","5 years","Section 80C and 10 (10D)"
"Capital Guarantee Plans","6% – 15% p.a. (varies as per plan)","5 years","Section 80C and 10 (10D)"
"Pension Plans","9% to 15% p.a. (varies as per plan)","5 years","Section 80C and 10 (10D)"
"Child Education Plans","9% to 15% p.a. (varies as per plan)","5 years","Section 80C and 10 (10D)"
"Sukanya Samriddhi Yojana (SSY)","8.20% p.a.","Earlier of: 21 years or marriage of girl","Section 80C and Section 10"
"Public Provident Fund (PPF)","7.1% p.a.","15 years","Section 80C"
"Employee Provident Fund (EPF)","8.25% p.a.","5 years","Section 80C"
"Senior Citizen Saving Scheme (SCSS)","8.20% p.a.","5 years","Section 80C"
"National Pension Scheme (NPS)","9% to 12% p.a.","3 years","Section 80CCD(1), 80 CCD(1B), and 80 CCD(2)"
"National Savings Certificate (NSC)","7.7% p.a.","5 years","Section 80C"
"Atal Pension Yojana (APY)","Guaranteed Pension between ₹1,000 - ₹5,000","Until 60 years of age","Section 80CCD(1) and 80 CCD(1B)"
"Tax Saving FDs","5.5% to 7.75% p.a.","5 years","Section 80C"
"Savings Bank Account","3% to 4% p.a.","No lock-in","Interest up to ₹10,000 tax-free under Section 80TTA"
"Equity Linked Savings Scheme (ELSS)","9% to 15% p.a. (depends on underlying assets)","3 years","Section 80C"
"Education Loan","No returns","No lock-in","Interest deduction under Section 80E"
"House Loan","No returns","No lock-in","Principal under Section 80C; Interest under Section 24(b) and Section 80EE"
"Life Insurance","Depends on policy","Varies from plan to plan","Section 80C; Maturity amount tax-free if policy term is more than 2 years"
"Term Insurance","No returns","No lock-in","Tax-free death benefit"
"Health Insurance","No returns","No lock-in","Premiums up to ₹25,000 for self, spouse, and dependent parents under Sec 80D; Up to ₹25,000 for senior citizen parents"
"Infrastructure Bonds","6% – 7.5% p.a.","5 - 10 years","Section 80CCF"